Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/01/2013","8 Grange Manor, Tulsk, Castlerea","","Roscommon","€88,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","1 Farnham Road, Cavan","","Cavan","€122,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","11 Whites Gate, White's Road, Castleknock","","Dublin","€700,352.42","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"02/01/2013","12 Kilmore Heights, Kilkelly","","Mayo","€57,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","13 Crosforge, Saggart, Co Dublin","","Dublin","€180,616.74","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/01/2013","19 Marian Avenue, Ennis","","Clare","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","2 Barnwell Terrace, Hansfield, Dublin 15","","Dublin","€147,974.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/01/2013","3 Crescent Avenue, Limerick","","Limerick","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","3 Rascill, Poles, Cavan","","Cavan","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","3 Stocking Wood Green, Stocking Avenue, Rathfarnham","","Dublin","€280,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/01/2013","42 Berryfields, Ferns","","Wexford","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","56 Bargy Road, East Wall","Dublin 3","Dublin","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","59 Corr Castle, Howth Road, Sutton","","Dublin","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","6 Harrisons cove, skerries, county dublin","","Dublin","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","69 Sarsfield Park, Lucan","","Dublin","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","74 Caheranne Village, Ballyvelly, Tralee","","Kerry","€155,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","78 Marlton Park, Marlton Road, Wicklow Town","","Wicklow","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","8 Pococke Lower, Johnswell Road, Kilkenny","","Kilkenny","€113,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","90 LAnsdowne Park, Ennis Road, Limerick","","Limerick","€155,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","91 sillogue gardens, ballymun, dublin","Dublin 11","Dublin","€96,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","Apartment 24, Vicarschoral, Tuam","","Galway","€65,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/01/2013","Apt 18, Chapelhill, Chapelizod","Dublin 20","Dublin","€175,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/01/2013","Apt No. 3 College Gate, Newcastle","","Galway","€142,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","Ballygilgan, Carney, Sligo","","Sligo","€385,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","Church Brae, Greencastle","","Donegal","€10,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","Dysert, Dromagh, Dromtarriffe","","Cork","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","Gortnalamph, Mohill","","Leitrim","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","Gurteen, Inch, Gorey","","Wexford","€42,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","Heatherview, Blacktrench, Naas","","Kildare","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
